id,timestamp,gesture,left_distance,right_distance,ir_triggered
1,2025-04-20 21:26:29,None,0,0,0
2,2025-04-20 21:26:52,Momentary,60,42,0
3,2025-04-20 21:26:56,LongHold,54,55,0
4,2025-04-20 21:27:01,Swipe_Right_Left,40,49,1
5,2025-04-20 21:27:08,Swipe_Left_Right,49,39,1
6,2025-04-20 21:27:22,Swipe_Right_Left,38,58,1
7,2025-04-20 21:27:26,Swipe_Left_Right,44,41,1
8,2025-04-20 21:27:41,Swipe_Right_Left,48,56,1
9,2025-04-20 21:27:43,Swipe_Left_Right,47,38,1
10,2025-04-20 21:27:45,Swipe_Right_Left,48,56,1
11,2025-04-20 21:27:58,Rpush,54,0,1
12,2025-04-20 21:27:58,Rpush,54,9,1
13,2025-04-20 21:27:58,Rpush,54,10,1
14,2025-04-20 21:27:59,Rpush,54,7,1
15,2025-04-20 21:27:59,Rpush,54,8,1
16,2025-04-20 21:27:59,Rpush,54,8,1
17,2025-04-20 21:28:00,Rpush,54,12,1
18,2025-04-20 21:28:00,Rpush,54,0,1
19,2025-04-20 21:28:00,Rpush,54,31,1
20,2025-04-20 21:28:01,Rpush,54,0,1
21,2025-04-20 21:28:02,Rpull,54,41,1
22,2025-04-20 21:28:02,Rpull,54,42,1
23,2025-04-20 21:28:02,Rpull,54,43,1
24,2025-04-20 21:28:03,Rpull,54,43,1
25,2025-04-20 21:28:03,Rpull,54,44,1
26,2025-04-20 21:28:03,Rpull,54,44,1
27,2025-04-20 21:28:04,Rpull,54,43,1
28,2025-04-20 21:28:04,Rpull,54,55,1
29,2025-04-20 21:28:06,Lpush,0,60,1
30,2025-04-20 21:28:06,Lpush,10,60,1
31,2025-04-20 21:28:07,Lpush,9,60,1
32,2025-04-20 21:28:07,Lpush,12,60,1
33,2025-04-20 21:28:08,Lpush,0,60,1
34,2025-04-20 21:28:08,Lpull,55,60,1
35,2025-04-20 21:28:10,Rpush,54,0,1
36,2025-04-20 21:28:10,Rpull,54,48,1
37,2025-04-20 21:28:11,Rpull,54,46,1
38,2025-04-20 21:28:11,Rpull,54,47,1
39,2025-04-20 21:28:11,Rpull,54,46,1
40,2025-04-20 21:28:11,Rpull,54,47,1
41,2025-04-20 21:28:12,Rpull,54,55,1
42,2025-04-20 21:28:14,Lpush,0,56,1
43,2025-04-20 21:28:14,Lpull,42,56,1
44,2025-04-20 21:28:14,Lpull,55,56,1
45,2025-04-20 21:28:23,Lpush,0,54,1
46,2025-04-20 21:28:23,Lpull,44,54,1
47,2025-04-20 21:28:24,Lpull,48,54,1
48,2025-04-20 21:28:24,Lpull,45,54,1
49,2025-04-20 21:28:24,Lpull,47,54,1
50,2025-04-20 21:28:25,Lpull,47,54,1
51,2025-04-20 21:28:25,Lpull,39,54,1
52,2025-04-20 21:28:25,Lpull,22,54,1
53,2025-04-20 21:28:26,Lpush,0,54,1
54,2025-04-20 21:28:26,Lpush,11,54,1
55,2025-04-20 21:28:27,Lpush,10,54,1
56,2025-04-20 21:28:27,Lpush,10,54,1
57,2025-04-20 21:28:27,Lpush,12,54,1
58,2025-04-20 21:28:28,Lpush,0,54,1
59,2025-04-20 21:28:28,Lpull,55,54,1
60,2025-04-20 21:28:30,LongHold,51,55,0
61,2025-04-20 21:28:32,LongHold,53,55,0
62,2025-04-20 21:28:35,Momentary,50,56,0
63,2025-04-20 21:28:36,Momentary,55,55,0
64,2025-04-20 21:28:38,Momentary,51,55,0
65,2025-04-20 21:28:39,LongHold,52,59,0
66,2025-04-20 21:28:42,Rpush,52,0,1
67,2025-04-20 21:28:42,Rpush,52,7,1
68,2025-04-20 21:28:42,Rpush,52,5,1
69,2025-04-20 21:28:42,Rpush,52,5,1
70,2025-04-20 21:28:43,Rpush,52,10,1
71,2025-04-20 21:28:43,Rpush,52,28,1
72,2025-04-20 21:28:44,Rpush,52,0,1
73,2025-04-20 21:28:44,Rpull,52,38,1
74,2025-04-20 21:28:44,Rpull,52,39,1
75,2025-04-20 21:28:45,Rpull,52,38,1
76,2025-04-20 21:28:45,Rpull,52,39,1
77,2025-04-20 21:28:45,Rpull,52,43,1
78,2025-04-20 21:28:46,Rpull,52,58,1
79,2025-04-20 21:28:47,Lpush,0,54,1
80,2025-04-20 21:28:47,Lpull,45,54,1
81,2025-04-20 21:28:48,Lpull,45,54,1
82,2025-04-20 21:28:48,Lpull,44,54,1
83,2025-04-20 21:28:48,Lpull,43,54,1
84,2025-04-20 21:28:48,Lpull,40,54,1
85,2025-04-20 21:28:49,Lpull,24,54,1
86,2025-04-20 21:28:49,Lpush,0,54,1
87,2025-04-20 21:28:50,Lpush,8,54,1
88,2025-04-20 21:28:50,Lpush,8,54,1
89,2025-04-20 21:28:50,Lpush,9,54,1
90,2025-04-20 21:28:51,Lpull,53,54,1
91,2025-04-20 21:28:52,Swipe_Right_Left,44,60,1
92,2025-04-20 21:28:59,Swipe_Right_Left,48,58,1
93,2025-04-20 21:29:03,Swipe_Left_Right,46,39,1
94,2025-04-20 21:29:08,Swipe_Left_Right,57,45,1
95,2025-04-20 21:29:14,Swipe_Right_Left,48,60,1
96,2025-04-20 21:29:31,Swipe_Right_Left,42,55,1
97,2025-04-20 21:29:32,Swipe_Left_Right,56,43,1
98,2025-04-20 21:29:34,Swipe_Right_Left,42,56,1
99,2025-04-20 21:29:35,Swipe_Right_Left,45,56,1
100,2025-04-20 21:29:37,Swipe_Right_Left,46,55,1
101,2025-04-20 21:29:43,Swipe_Left_Right,56,44,1
102,2025-04-20 21:29:46,Swipe_Right_Left,48,59,1
103,2025-04-20 21:29:48,Swipe_Right_Left,45,58,1
104,2025-04-20 21:29:50,Swipe_Right_Left,42,57,1
105,2025-04-20 21:29:52,Swipe_Left_Right,56,43,1
106,2025-04-20 21:29:57,Swipe_Left_Right,58,40,1
107,2025-04-20 21:29:59,Swipe_Right_Left,42,60,1
108,2025-04-20 21:30:01,Swipe_Left_Right,58,45,1
109,2025-04-20 21:30:03,Swipe_Right_Left,44,60,1
110,2025-04-20 21:30:05,Rpush,55,0,1
111,2025-04-20 21:30:06,Rpush,55,7,1
112,2025-04-20 21:30:06,Rpush,55,4,1
113,2025-04-20 21:30:06,Rpush,55,5,1
114,2025-04-20 21:30:07,Rpush,55,10,1
115,2025-04-20 21:30:07,Rpush,55,18,1
116,2025-04-20 21:30:08,Rpush,55,0,1
117,2025-04-20 21:30:08,Rpull,55,41,1
118,2025-04-20 21:30:08,Rpull,55,42,1
119,2025-04-20 21:30:08,Rpull,55,41,1
120,2025-04-20 21:30:09,Rpull,55,44,1
121,2025-04-20 21:30:09,Rpull,55,56,1
122,2025-04-20 21:30:10,Lpush,0,60,1
123,2025-04-20 21:30:11,Lpush,9,60,1
124,2025-04-20 21:30:11,Lpull,60,60,1
125,2025-04-20 21:30:13,Lpush,0,55,1
126,2025-04-20 21:30:13,Lpull,38,55,1
127,2025-04-20 21:30:13,Lpull,39,55,1
128,2025-04-20 21:30:13,Lpull,38,55,1
129,2025-04-20 21:30:14,Lpull,38,55,1
130,2025-04-20 21:30:14,Lpull,39,55,1
131,2025-04-20 21:30:14,Lpull,39,55,1
132,2025-04-20 21:30:15,Lpull,38,55,1
133,2025-04-20 21:30:15,Lpull,29,55,1
134,2025-04-20 21:30:16,Lpush,0,55,1
135,2025-04-20 21:30:16,Lpush,9,55,1
136,2025-04-20 21:30:16,Lpush,10,55,1
137,2025-04-20 21:30:17,Lpush,9,55,1
138,2025-04-20 21:30:17,Lpush,10,55,1
139,2025-04-20 21:30:17,Lpull,60,55,1
140,2025-04-20 21:30:18,Momentary,52,60,0
141,2025-04-20 21:30:19,LongHold,53,60,0
142,2025-04-20 21:30:20,Momentary,55,60,0
143,2025-04-20 21:30:21,Momentary,52,56,0
144,2025-04-20 21:30:23,LongHold,53,57,0
145,2025-04-20 21:30:24,Swipe_Right_Left,48,59,1
146,2025-04-20 21:30:26,Swipe_Right_Left,42,49,1
147,2025-04-20 21:30:28,Swipe_Right_Left,47,56,1
148,2025-04-20 21:30:30,Swipe_Left_Right,40,39,1
149,2025-04-20 21:30:32,Swipe_Left_Right,41,41,1
